City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,ventspils,57.3894,21.5606,283.11,100,11,0.0,LV,1694393027
201,nova sintra,14.8667,-24.7167,297.42,77,31,3.32,CV,1694393028
202,laramie,41.3114,-105.5911,285.36,83,100,3.09,US,1694393028
203,betio village,1.358,172.9211,304.17,73,93,2.63,KI,1694393028
204,al muwayh,22.4333,41.7583,299.49,49,9,2.62,SA,1694393028
205,celestun,20.8667,-90.4,301.48,72,100,5.13,MX,1694393029
206,tangi,34.3006,71.6536,302.15,61,0,2.25,PK,1694393029
207,guayaramerin,-10.8368,-65.3614,298.13,81,97,0.62,BO,1694393029
208,severo-yeniseyskiy,60.3725,93.0408,279.24,71,53,0.39,RU,1694393029
209,gernika-lumo,43.3167,-2.6833,296.46,84,100,0.51,ES,1694393029
210,lianjiang,21.6467,110.2817,297.33,98,100,5.66,CN,1694393030
211,long beach,33.767,-118.1892,309.24,59,0,7.72,US,1694393017
212,sosnovo-ozerskoye,52.5249,111.5418,279.87,72,92,2.66,RU,1694393030
213,prado,-17.3411,-39.2208,295.98,76,0,3.75,BR,1694392962
214,nosy varika,-20.5833,48.5333,291.44,86,3,1.7,MG,1694393030
215,kerikeri,-35.2268,173.9474,289.21,94,100,2.24,NZ,1694393030
216,garachico,28.7781,-17.7646,295.21,69,0,2.06,ES,1694393031
217,mejit,10.2753,170.8646,302.24,76,96,5.99,MH,1694393031
218,yuli,9.6989,10.2744,296.64,93,77,1.59,NG,1694393031
219,fort st. john,56.2499,-120.8529,298.09,31,40,5.66,CA,1694393005
220,trevelin,-43.0858,-71.4639,277.86,90,10,2.28,AR,1694393031
221,afaahiti,-17.75,-149.2833,300.08,79,5,6.42,PF,1694393032
222,lawas,13.764,121.0566,302.58,75,64,2.87,PH,1694393032
223,edea,3.8,10.1333,296.9,98,100,0.86,CM,1694393032
224,kidal,18.4411,1.4078,305.3,35,98,2.5,ML,1694393032
225,chulakkurgan,43.765,69.1814,294.73,38,1,3.32,KZ,1694393032
226,cadale,2.7603,46.3222,298.3,89,50,6.13,SO,1694393033
227,yarmouth,41.7057,-70.2286,295.38,95,20,0.89,US,1694393033
228,sao martinho,39.5144,-9.1311,292.2,72,3,0.95,PT,1694393033
229,shenjiamen,29.9576,122.298,299.96,76,23,4.98,CN,1694393033
230,berrotaran,-32.451,-64.3887,291.42,45,99,0.42,AR,1694393033
231,prince rupert,54.3161,-130.3201,288.2,85,75,17.49,CA,1694393034
232,kedrovyy,56.1667,91.8167,280.38,77,99,1.99,RU,1694393034
233,duyun,26.2667,107.5167,297.44,82,89,0.77,CN,1694393034
234,udachny,66.4167,112.4,279.51,56,100,6.23,RU,1694393034
235,keflavik,64.0049,-22.5624,280.39,76,75,7.2,IS,1694393034
236,arad,46.3333,21.75,290.32,59,0,2.08,RO,1694393035
237,shindand,33.3029,62.1474,298.72,16,0,2.0,AF,1694393035
238,palikir - national government center,6.9248,158.1611,302.62,79,100,5.14,FM,1694393035
239,urengoy,65.9667,78.3667,286.54,68,100,4.02,RU,1694393035
240,takoradi,4.8845,-1.7554,297.22,93,83,3.69,GH,1694393035
241,ostersund,63.1792,14.6357,284.4,100,100,2.57,SE,1694393036
242,dubbo,-32.25,148.6167,289.22,39,0,4.63,AU,1694393036
243,sallisaw,35.4604,-94.7875,301.97,46,0,2.06,US,1694393036
244,la ronge,55.1001,-105.2842,290.29,34,0,3.09,CA,1694393036
245,nioki,-2.7167,17.6833,295.91,91,76,0.65,CD,1694393036
246,sao joao da barra,-21.6403,-41.0511,295.2,89,0,7.98,BR,1694392841
247,ciudad lazaro cardenas,17.9583,-102.2,301.16,78,10,2.14,MX,1694393037
248,kapuskasing,49.4169,-82.4331,289.2,77,75,2.06,CA,1694393037
249,lianhe,47.1333,129.2667,290.63,95,100,1.45,CN,1694393037
250,nova vicosa,-17.8919,-39.3719,295.6,80,0,3.52,BR,1694393038
251,genhe,50.7833,121.5167,278.4,98,100,3.44,CN,1694393038
252,port elizabeth,-33.918,25.5701,285.31,87,40,11.83,ZA,1694393038
253,kuanda,56.3161,116.0806,279.89,62,76,1.65,RU,1694393038
254,klyuchi,52.2667,79.1667,287.45,61,100,5.41,RU,1694393038
255,tateyama,34.9833,139.8667,300.48,81,100,2.99,JP,1694393039
256,nguigmi,14.2495,13.1092,304.97,48,35,5.13,NE,1694393039
257,pinarbasi,38.7229,36.3931,282.32,80,100,2.0,TR,1694393039
258,flying fish cove,-10.4217,105.6791,297.97,83,75,5.14,CX,1694393039
259,dakhla,23.6848,-15.958,294.44,89,0,8.22,EH,1694393039
260,cheremushki,52.8356,91.3944,285.55,63,83,1.19,RU,1694393040
261,porto novo,6.4965,2.6036,299.05,90,69,3.31,BJ,1694393040
262,kalanchak,46.2562,33.2907,286.22,66,0,3.15,UA,1694393040
263,namie,37.4833,141.0,303.14,76,100,4.56,JP,1694393040
264,geraldton,-28.7667,114.6,288.38,100,40,2.06,AU,1694393040
265,port lincoln,-34.7333,135.8667,291.08,46,7,5.13,AU,1694393041
266,polyarnyy,69.1989,33.4478,283.72,83,92,1.99,RU,1694393041
267,namibe,-15.1961,12.1522,289.87,86,100,3.18,AO,1694393041
268,thisted,56.9552,8.6949,290.45,95,96,3.21,DK,1694393041
269,newman,37.3138,-121.0208,307.28,10,0,2.83,US,1694393042
270,sechura,-5.5569,-80.8222,294.1,75,10,6.42,PE,1694393042
271,l'alcora,40.0667,-0.2,294.94,80,7,1.12,ES,1694393042
272,molde,62.7375,7.1591,287.43,94,40,2.57,NO,1694393042
273,nueva gerona,21.8833,-82.8,302.22,68,0,1.02,CU,1694393042
274,shinshiro,34.9,137.5,302.28,74,100,4.41,JP,1694393043
275,praya,14.9215,-23.5087,300.45,89,20,3.09,CV,1694393043
276,siwa oasis,29.2041,25.5195,297.98,61,0,7.69,EG,1694393043
277,irymple,-34.25,142.1667,292.09,59,15,0.22,AU,1694393043
278,okhotsk,59.3833,143.3,284.32,45,0,8.48,RU,1694393044
279,novyy urengoy,66.0833,76.6333,285.49,68,100,5.17,RU,1694393044
280,noumea,-22.2763,166.4572,298.14,99,30,7.17,NC,1694393044
281,box elder,41.5005,-112.8764,297.61,44,1,2.74,US,1694393044
282,kavieng,-2.5744,150.7967,301.86,73,93,4.84,PG,1694393044
283,bengkulu,-3.8004,102.2655,297.32,78,70,4.05,ID,1694393044
284,arraial do cabo,-22.9661,-42.0278,294.15,90,100,5.74,BR,1694393045
285,cerkes,40.8116,32.8936,282.33,85,9,0.79,TR,1694393045
286,kingston,17.997,-76.7936,301.68,84,40,2.57,JM,1694392309
287,baardheere,2.3446,42.2764,298.1,80,75,6.59,SO,1694393045
288,copiapo,-27.3667,-70.3333,286.98,30,42,1.83,CL,1694392767
289,dingtao,35.0683,115.5625,298.24,71,100,1.27,CN,1694393046
290,pierre,44.3683,-100.351,290.66,71,100,3.09,US,1694393000
291,alesund,62.4723,6.1549,288.01,94,100,2.06,NO,1694393046
292,taroa,8.7058,171.2275,301.87,76,51,5.82,MH,1694393046
293,egilsstadir,65.2653,-14.3948,276.1,100,75,4.63,IS,1694393046
294,queenstown,-31.8976,26.8753,283.49,56,0,1.45,ZA,1694393047
295,san pedro pochutla,15.7333,-96.4667,301.99,89,98,4.21,MX,1694393047
296,vikhorevka,56.1201,101.1636,278.92,61,65,1.43,RU,1694393047
297,holmsund,63.706,20.3641,283.68,87,0,1.54,SE,1694393047
298,petropavlovsk-kamchatsky,53.0452,158.6483,291.48,34,20,2.0,RU,1694393047
299,tolanaro,-25.0319,46.9987,294.19,88,0,8.23,MG,1694393047
300,colesberg,-30.72,25.0972,280.98,55,0,4.12,ZA,1694393048
301,plettenberg bay,-34.0527,23.3716,281.88,83,100,6.02,ZA,1694393048
302,ebon,4.582,168.6964,301.81,70,66,2.15,MH,1694393048
303,hermanus,-34.4187,19.2345,282.48,58,100,9.13,ZA,1694393048
304,zuunmod,47.7069,106.9528,275.72,79,20,1.72,MN,1694393048
305,kununurra,-15.7667,128.7333,304.14,18,42,6.17,AU,1694393049
306,pitimbu,-7.4706,-34.8086,296.48,82,29,5.84,BR,1694393049
307,puerto boyaca,5.9758,-74.5885,298.1,87,55,0.82,CO,1694393031
308,san antonio de pale,-1.4014,5.6325,296.84,88,100,6.4,GQ,1694393049
309,tshabong,-26.05,22.45,284.98,47,0,9.09,BW,1694393049
310,kamina,-8.7386,24.9906,292.1,85,66,2.02,CD,1694393050
311,san sebastian de la gomera,28.0916,-17.1133,297.35,68,0,2.57,ES,1694393050
312,barreiro do jaiba,-15.6167,-43.6,297.3,25,0,4.09,BR,1694393050
313,hermantown,46.8069,-92.2383,289.65,82,40,3.09,US,1694393050
314,mammoth lakes,37.6485,-118.9721,289.55,56,75,3.6,US,1694393051
315,akureyri,65.6835,-18.0878,279.11,65,75,2.06,IS,1694393051
316,baracoa,20.3467,-74.4958,301.34,85,56,3.41,CU,1694393051
317,morehead city,34.7229,-76.726,301.15,85,0,4.12,US,1694393051
318,atafu village,-8.5421,-172.5159,301.38,73,14,3.12,TK,1694393051
319,nan,18.8333,100.6667,297.16,94,75,1.54,TH,1694393052
320,burutu,5.3509,5.5076,298.29,89,33,3.51,NG,1694393052
321,lihue,21.9789,-159.3672,303.73,72,40,6.17,US,1694392821
322,miguel ahumada,30.6167,-106.5167,306.46,15,8,6.02,MX,1694393052
323,kotovo,50.3211,44.8012,283.36,69,6,3.91,RU,1694393053
324,coahuayana de hidalgo,18.7,-103.6583,300.8,84,5,1.61,MX,1694393053
325,vernon,50.2581,-119.2691,303.89,32,100,2.24,CA,1694393053
326,praia da vitoria,38.7333,-27.0667,293.57,94,20,1.22,PT,1694392932
327,levuka,50.1834,-105.4011,296.99,30,13,0.99,CA,1694393053
328,impfondo,1.6381,18.0667,294.96,94,90,0.55,CG,1694393053
329,rio grande,-32.035,-52.0986,290.21,96,90,5.25,BR,1694393054
330,shetpe,44.1667,52.1167,286.63,65,2,6.2,KZ,1694393054
331,okha,53.5739,142.9478,286.59,61,27,4.72,RU,1694393054
332,lompoc,34.6391,-120.4579,305.25,79,0,5.81,US,1694393054
333,orchard homes,46.8633,-114.0484,301.23,29,0,4.63,US,1694393054
334,ogulin,45.2661,15.2286,285.71,71,9,1.18,HR,1694393055
335,pelabuhanratu,-6.9875,106.5514,298.95,67,6,1.81,ID,1694392923
336,wanxian,30.8039,108.3897,300.32,82,100,2.59,CN,1694393055
337,touros,-5.1989,-35.4608,297.86,76,0,6.04,BR,1694393055
338,saldanha,-33.0117,17.9442,283.18,63,100,8.36,ZA,1694393056
339,weno,7.4515,151.8468,301.12,89,100,2.06,FM,1694393056
340,saint-philippe,-21.3585,55.7679,291.92,74,40,4.54,RE,1694393056
341,puerto armuelles,8.2833,-82.8667,301.02,72,100,0.45,PA,1694393056
342,alice springs,-23.7,133.8833,292.9,14,2,7.72,AU,1694393056
343,dinguiraye,11.3,-10.7167,294.53,95,100,1.22,GN,1694393057
344,gazli,40.1333,63.45,293.95,52,0,9.77,UZ,1694393057
345,kyzylorda,44.8528,65.5092,292.16,37,40,4.0,KZ,1694393057
346,barra de santo antonio,-9.4047,-35.5072,295.75,82,0,4.11,BR,1694393057
347,belyy yar,53.6039,91.3903,279.09,100,0,0.0,RU,1694393057
348,tokonou,9.65,-9.7833,293.68,97,98,1.67,GN,1694393058
349,macia,-25.0269,33.0989,295.12,50,0,4.97,MZ,1694393058
350,madera,37.1666,-119.8343,307.73,26,0,2.63,US,1694392991
351,robore,-18.3333,-59.75,302.08,43,0,2.37,BO,1694393058
352,roma,43.2128,-75.4557,293.99,93,100,1.54,US,1694393058
353,vorgashor,67.5833,63.95,280.59,93,100,4.35,RU,1694393059
354,brisas de zicatela,15.8369,-97.0419,299.44,65,75,1.54,MX,1694393059
355,palpa,-14.5336,-75.1856,295.54,51,0,0.97,PE,1694393059
356,kosh-agach,50.0,88.6667,281.87,51,99,1.1,RU,1694393059
357,usinsk,65.9939,57.5281,281.77,91,64,4.34,RU,1694393060
358,dongsheng,39.8161,109.9776,290.3,45,100,6.34,CN,1694393060
359,susuman,62.7833,148.1667,275.92,99,100,1.06,RU,1694393060
360,oliver,49.1831,-119.5524,304.1,23,97,2.57,CA,1694393060
361,paraty,-23.2178,-44.7131,294.11,91,3,1.44,BR,1694393060
362,tamanrasset,22.785,5.5228,300.1,34,40,1.54,DZ,1694392883
